Name,Publisher,Designer,Small or Sell?,Overall Rank,BGG Rating,Year,Weight
Hoax 2nd Edition,,,,8226,5.9,2016,1.71
Century Golem,,,,239,7.6,2017,1.69
Hanabi,,,,506,7,2010,1.69
Survive Escape from Atlantis,,,,323,7.3,1982,1.69
Bottlecap Vikings,,,Small,25121,5.1,2015,1.68
Dungeon Kart,,,KS,-,-,2024,1.67
Lady and the Tiger,,,,5298,6.3,2017,1.67
Sheriff of Nottingham,,,,493,7.1,2014,1.66
Jamaica,,,,581,7.1,2007,1.66
Canvas/Reflections/Finishing Touches,,,KS,510,7.3,2021,1.65
Castle Panic,,,,1243,6.6,2009,1.65
Gargoyles Awakening,,,,7826,6.5,2021,1.63
Ghost Fightin Treasure Hunters,,,,1088,7.2,2013,1.63
Planet,,,,1573,6.7,2018,1.6
Patchwork,,,,117,7.6,2014,1.6
The Resistance,,,,374,7.2,2009,1.59
Mascarade,,,,1488,6.6,2013,1.53
Machi Koro,,,,1192,6.6,2012,1.53
Wakanda Forever,,,,11399,6.4,2019,1.5
Bionicle The Mask of Light,,,Protected,-,3.4,2003,1.5
Digimon Digi-Battle Card Game,,,TCG,23766,5.1,1999,1.5
King of Tokyo/Monster Box,,,,404,7.1,2011,1.49
Rampage,,,,1119,6.8,2013,1.48
Camel Up 2nd Edition,,,,263,7.6,2018,1.46
Marvel Fluxx,,,,5368,6.5,2019,1.43
Tsuro 2/Veterans of the Seas,,,,1839,6.5,2012,1.43
Batman Fluxx,,,,4610,6.3,2015,1.41
Wizard Kittens,,,KS,11454,6.2,2020,1.4
Cat Lady,,,,1007,7,2017,1.4
One Night Ultimate Daybreak,,,,662,7.3,2015,1.39
Spirits of the Wild,,,,1226,7.4,2018,1.38
One Night Ultimate Werewolf,,,,569,7.1,2014,1.38
13 Dead End Drive,,,,4960,6.1,1993,1.38
7 Wonders Architects,,,,819,7,2021,1.35
Labyrinth,,,,1856,6.4,1986,1.35
Sushi Go Party,,,,245,7.4,2016,1.31
Crash Octopus,,,KS,3085,7,2021,1.3
Tiki Topple,,,,2828,6.5,2008,1.29
Star Wars Jabbas Palace A Love Letter Game,,,,1429,7.3,2022,1.26
Dune House of Secrets,,,,25884,5.1,2021,1.26
Ramen Fury,,,,4790,6.2,2019,1.26
Codenames/Pictures/Deep Undercover,,,,127,7.6,2015,1.26
Pirates of the Caribbean Liars Dice,,,,818,6.9,2006,1.26
Spyfall,,,,910,6.8,2014,1.24
Costume Party Assassins,,,,8239,6.6,2018,1.23
Tsuro,,,,1115,6.7,2005,1.22
Labyrinth The Card Game,,,Small,16892,5.6,2000,1.22
Monopoly Gamer,,,,3908,6.3,2017,1.21
Marvel Love Letter Infinity Gauntlet,,,,1450,7,2020,1.2
Star Wars Sabacc,,,Protected,20592,5.6,2019,1.2
Crossfire (Specter Ops),,,,4394,6.4,2017,1.2
Dixit 1-6,,,,359,7.2,2008,1.2
Batman Love Letter,,,,731,7.3,2015,1.19
Mars Attack the Dice Game,,,,8738,5.9,2014,1.19
Love Letter,,,,325,7.2,2012,1.19
Labyrinth Ocean,,,,10499,6.6,2015,1.17
Uno,,,Small,25319,5.4,1971,1.11
Zombie Dice,,,,2435,6.2,2010,1.1
Exploding Kittens,,,,3680,6.1,2015,1.09
Angry Birds The Card Game,,,Small,25274,4.7,2011,1.08
Pass the Pigs,,,Small,25163,5.4,1977,1.07
Diamonsters,,,Small,23680,5.5,2013,1.05
Roll for It!,,,,3690,6.1,2011,1.05
Mantis,,,,3656,6.7,2022,1.04
Just One,,,,140,7.6,2018,1.04
Scream,,,,11424,6.9,2023,1
CATastrophe,,,,14137,7.3,2022,1
Venn,,,,15173,6.2,2022,1
Jingle All the Way (Turboman),,,Small,18464,6.2,2021,1
Gremlins Holiday Havoc,,,Small,18611,6.3,2020,1
Ok Boomer Trivia Game,,,Small,23108,4.7,2020,1
Star Wars Galactic Dice Game,,,Protected,23068,5.2,2014,1
Guile,,,Small,23980,5,2013,1
Bionicle The Quest Game,,,Protected,-,3.3,2006,1
Spider-Man The Game (Animated Series),,,Protected,-,4.1,1995,1
Bionicle Quest for the Nest,,,Protected,-,-,-,-
Spider-Man Villain Hunt,,,Protected,-,-,-,-
Clans of Midgard,,,KS,-,-,2024,-
Cretaceous Rails,,,KS,-,-,2024,-
Dice Throne X-Men,,,KS,-,-,2024,-
Munchkin Batman,,,KS,15481,7.5,2023,-
The Huntsman Society,,,KS,-,7.1,2023,-
Ghosts Love Candy Too,,,,13005,7.2,2022,-
Skylanders Skystones,,,Small,-,5.4,2015,-
Spider-Man The Movie (2001),,,Protected,-,4.5,2001,-
